run,seed,model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,train_time_sec,test_time_sec
7,48,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.01532070000000374,0.0012244999999992956
8,49,ELM,0.7975,0.7947368421052632,0.9901639344262295,0.8817518248175182,0.5845556514236411,17,78,3,302,0.030967000000003964,0.0006516999999988116
8,49,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.6045901639344262,0,95,0,305,0.011954599999995708,0.0013734000000056312
8,49,RF,0.9975,0.9967320261437909,1.0,0.9983633387888707,0.9999999999999999,94,1,0,305,0.1964636000000013,0.011686400000002095
8,49,SVC_RBF,0.7625,0.7625,1.0,0.8652482269503546,0.028955996548748943,0,95,0,305,0.2092483999999999,0.023129400000001965
8,49,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9309404659188957,0,95,0,305,0.049541099999999005,0.0023410000000012587
8,49,MLP,0.8225,0.8179347826086957,0.9868852459016394,0.8945022288261516,0.8654702329594479,28,67,4,301,0.9645784999999947,0.0017074000000008027
8,49,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.03025790000000228,0.012841699999995626
8,49,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.014435299999995266,0.0014223000000015418
9,50,ELM,0.7775,0.78125,0.9836065573770492,0.8708272859216255,0.5496980155306298,11,84,5,300,0.008867799999997317,0.00028350000000187947
9,50,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.6057635893011216,0,95,0,305,0.00908290000000278,0.000691099999997391
9,50,RF,0.9975,0.9967320261437909,1.0,0.9983633387888707,1.0,94,1,0,305,0.13603260000000006,0.012319099999999139
9,50,SVC_RBF,0.7625,0.7625,1.0,0.8652482269503546,0.05080241587575499,0,95,0,305,0.21688289999999455,0.02542070000000507
9,50,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9473339085418464,0,95,0,305,0.0916754999999938,0.0025443000000038296
9,50,MLP,0.815,0.8147138964577657,0.980327868852459,0.8898809523809523,0.8701294219154443,27,68,6,299,1.2398908000000048,0.0029569000000009282
9,50,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.020783600000001456,0.00678479999999837
9,50,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.014104100000004394,0.0012384999999994761
10,51,ELM,0.795,0.7957559681697612,0.9836065573770492,0.8797653958944281,0.5865401207937877,18,77,5,300,0.011228099999996743,0.00022160000000326363
10,51,LogReg,0.76,0.7619047619047619,0.9967213114754099,0.8636363636363636,0.6261259706643658,0,95,1,304,0.0073760999999947785,0.0009366000000028407
10,51,RF,0.995,0.993485342019544,1.0,0.9967320261437909,0.9999654874892148,93,2,0,305,0.15344859999999727,0.012349300000003893
10,51,SVC_RBF,0.7675,0.7663316582914573,1.0,0.8677098150782361,0.9281104400345126,2,93,0,305,0.2421515999999997,0.021906000000001313
10,51,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9274547023295945,0,95,0,305,0.11114089999999521,0.009494700000004741
10,51,MLP,0.815,0.808,0.9934426229508196,0.8911764705882353,0.8469025021570319,23,72,2,303,1.1392987999999988,0.0021795000000039977
10,51,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.03176899999999705,0.010408699999999271
10,51,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.013662400000001185,0.001183799999999735
11,52,ELM,0.7875,0.7925531914893617,0.9770491803278688,0.8751835535976505,0.5779982743744607,17,78,7,298,0.013193499999999858,0.0003817999999995436
11,52,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.6091458153580673,0,95,0,305,0.00825410000000204,0.0010924999999986085
11,52,RF,0.9925,0.9967105263157895,0.9934426229508196,0.9950738916256158,0.9994477998274375,94,1,2,303,0.12895230000000169,0.011639000000002397
11,52,SVC_RBF,0.77,0.7682619647355163,1.0,0.8689458689458689,0.05459879206212255,3,92,0,305,0.21424439999999834,0.0223204999999993
11,52,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9346160483175151,0,95,0,305,0.0435115999999951,0.0030125000000040814
11,52,MLP,0.82,0.8157181571815718,0.9868852459016394,0.8931750741839762,0.8616048317515099,27,68,4,301,0.9518447000000023,0.00143680000000046
11,52,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.02822280000000177,0.01171109999999942
11,52,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.012160399999999072,0.0010036000000042122
12,53,ELM,0.7825,0.7898936170212766,0.9737704918032787,0.8722466960352423,0.5710957722174288,16,79,8,297,0.007145699999995259,0.00021260000000467016
12,53,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.620086281276963,0,95,0,305,0.00867449999999792,0.0006191000000015379
12,53,RF,0.9975,0.9967320261437909,1.0,0.9983633387888707,1.0,94,1,0,305,0.12960350000000176,0.009674400000001526
12,53,SVC_RBF,0.775,0.7721518987341772,1.0,0.8714285714285714,0.9563761863675583,5,90,0,305,0.18244089999999602,0.030159099999998773
12,53,XGB,0.765,0.7644110275689223,1.0,0.8664772727272727,0.9349784296807593,1,94,0,305,0.05094040000000177,0.0034098000000000184
12,53,MLP,0.83,0.8338028169014085,0.9704918032786886,0.896969696969697,0.892769628990509,36,59,9,296,0.9189314999999993,0.0014449000000027468
12,53,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.032602900000000545,0.01159399999999522
12,53,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.010081700000000637,0.0013355999999973278
13,54,ELM,0.78,0.7924528301886793,0.9639344262295082,0.8698224852071006,0.5767040552200172,18,77,11,294,0.008081100000005392,0.00045719999999960237
13,54,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.601311475409836,0,95,0,305,0.00943589999999972,0.001014399999995419
13,54,RF,0.9925,0.9902597402597403,1.0,0.9951060358890701,0.9999309749784296,92,3,0,305,0.13313499999999578,0.013568300000002864
13,54,SVC_RBF,0.765,0.7644110275689223,1.0,0.8664772727272727,0.9442622950819671,1,94,0,305,0.21524500000000302,0.02892130000000037
13,54,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9332528041415012,0,95,0,305,0.05042180000000229,0.002684399999999698
13,54,MLP,0.81,0.800524934383202,1.0,0.8892128279883382,0.8584296807592753,19,76,0,305,1.1119827999999998,0.002216300000000615
13,54,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.026998200000001304,0.00918219999999792
13,54,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.015614500000005194,0.0008662999999984322
14,55,ELM,0.78,0.7847769028871391,0.980327868852459,0.8717201166180758,0.5585849870578085,13,82,6,299,0.0077302999999986355,0.0004520000000027835
14,55,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.616220880069025,0,95,0,305,0.015807399999999916,0.0014085000000036985
14,55,RF,0.9925,0.9902597402597403,1.0,0.9951060358890701,1.0,92,3,0,305,0.142250599999997,0.01465040000000073
14,55,SVC_RBF,0.7625,0.7625,1.0,0.8652482269503546,0.9603796376186369,0,95,0,305,0.2020173000000014,0.024305500000004088
14,55,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.9300086281276964,0,95,0,305,0.041336999999998625,0.002283200000000818
14,55,MLP,0.8275,0.8241758241758241,0.9836065573770492,0.8968609865470852,0.8819672131147541,31,64,5,300,0.8453628000000037,0.0012976999999949612
14,55,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.0322242000000017,0.00938719999999904
14,55,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.012093600000000038,0.0012279000000035012
15,56,ELM,0.76,0.7672634271099744,0.9836065573770492,0.8620689655172413,0.512855910267472,4,91,5,300,0.007554400000003625,0.0004913000000001944
15,56,LogReg,0.7625,0.7625,1.0,0.8652482269503546,0.6061432269197584,0,95,0,305,0.008309600000004025,0.0006979999999998654
15,56,RF,0.9975,0.9967320261437909,1.0,0.9983633387888707,1.0,94,1,0,305,0.1366045999999983,0.01608070000000339
15,56,SVC_RBF,0.7725,0.7702020202020202,1.0,0.8701854493580599,0.051561691113028496,4,91,0,305,0.22371440000000575,0.02566309999999561
15,56,XGB,0.7625,0.7625,1.0,0.8652482269503546,0.933183779119931,0,95,0,305,0.05307390000000112,0.003202500000000441
15,56,MLP,0.81,0.8037135278514589,0.9934426229508196,0.8885630498533724,0.8616393442622952,21,74,2,303,0.970973800000003,0.0020132000000003814
15,56,KNN,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.026725300000002505,0.027487499999999443
15,56,DT,1.0,1.0,1.0,1.0,1.0,95,0,0,305,0.014816199999998503,0.0008307000000016274
16,57,ELM,0.785,0.7889182058047494,0.980327868852459,0.8742690058479532,0.5691113028472822,15,80,6,299,0.009875700000002041,0.0006793999999956668
16,57,LogReg,0.76,0.7619047619047619,0.9967213114754099,0.8636363636363636,0.6438308886971527,0,95,1,304,0.009546600000000183,0.0009806999999995014
16,57,RF,0.9975,0.9967320261437909,1.0,0.9983633387888707,1.0,94,1,0,305,0.14227379999999812,0.013736199999996757
