dataset,metric,optimized,baseline,mean_opt,mean_base,mean_diff,p_wilcoxon,p_bh,significant_bh_0.05
OSA,f1,GA,SVM,0.5939070648320645,0.60625069941442,-0.012343634582355758,0.6476554870605469,0.9106326103210449,False
OSA,f1,GA,MLP,0.5939070648320645,0.6047867062405555,-0.010879641408491222,0.7011814117431641,0.9106326103210449,False
OSA,f1,GA,LR,0.5939070648320645,0.6155165527294475,-0.02160948789738291,0.1908721882461003,0.9106326103210449,False
OSA,f1,GA,XGB,0.5939070648320645,0.5968511699690956,-0.0029441051370311584,0.8405336616716674,0.9854354858398438,False
OSA,f1,GA,ELM,0.5939070648320645,0.6152971985788666,-0.021390133746802258,0.34881019592285156,0.9106326103210449,False
OSA,roc_auc,MGO,SVM,0.6771333333333335,0.7462333333333333,-0.0691,0.0023250579833984375,0.0108489990234375,True
OSA,roc_auc,MGO,MLP,0.6771333333333335,0.7250666666666667,-0.047933333333333335,0.009435653686523438,0.020968119303385418,True
OSA,roc_auc,MGO,LR,0.6771333333333335,0.7209333333333332,-0.04379999999999999,0.058258056640625,0.09709676106770833,False
OSA,roc_auc,MGO,XGB,0.6771333333333335,0.6851999999999999,-0.008066666666666677,0.49800872802734375,0.6225109100341797,False
OSA,roc_auc,MGO,ELM,0.6771333333333335,0.6896666666666667,-0.01253333333333334,0.34881019592285156,0.5366310706505408,False
OSA,roc_auc,RUN,SVM,0.6792666666666666,0.7462333333333333,-0.06696666666666666,0.0007076263427734375,0.004717508951822917,True
OSA,roc_auc,RUN,MLP,0.6792666666666666,0.7250666666666667,-0.045799999999999993,0.002712249755859375,0.0108489990234375,True
OSA,roc_auc,RUN,LR,0.6792666666666666,0.7209333333333332,-0.04166666666666665,0.012079238891601562,0.021962252530184658,True
OSA,roc_auc,RUN,XGB,0.6792666666666666,0.6851999999999999,-0.005933333333333335,0.5958194732666016,0.6542245965254935,False
OSA,roc_auc,RUN,ELM,0.6792666666666666,0.6896666666666667,-0.010399999999999998,0.6215133666992188,0.6542245965254935,False
OSA,roc_auc,CLPSO,SVM,0.6746,0.7462333333333333,-0.07163333333333335,0.0001678466796875,0.00335693359375,True
OSA,roc_auc,CLPSO,MLP,0.6746,0.7250666666666667,-0.05046666666666668,0.0042209625244140625,0.012059892926897322,True
OSA,roc_auc,CLPSO,LR,0.6746,0.7209333333333332,-0.04633333333333334,0.012079238891601562,0.021962252530184658,True
OSA,roc_auc,CLPSO,XGB,0.6746,0.6851999999999999,-0.01060000000000002,0.47490501403808594,0.6225109100341797,False
OSA,roc_auc,CLPSO,ELM,0.6746,0.6896666666666667,-0.015066666666666683,0.38837623596191406,0.5548231942313058,False
OSA,roc_auc,GA,SVM,0.6758666666666666,0.7462333333333333,-0.07036666666666666,0.0005855560302734375,0.004717508951822917,True
OSA,roc_auc,GA,MLP,0.6758666666666666,0.7250666666666667,-0.0492,0.00365447998046875,0.012059892926897322,True
OSA,roc_auc,GA,LR,0.6758666666666666,0.7209333333333332,-0.04506666666666667,0.005580902099609375,0.013952255249023438,True
OSA,roc_auc,GA,XGB,0.6758666666666666,0.6851999999999999,-0.009333333333333355,0.7011814117431641,0.7011814117431641,False
OSA,roc_auc,GA,ELM,0.6758666666666666,0.6896666666666667,-0.013800000000000017,0.5705966949462891,0.6542245965254935,False
