dataset,metric,optimized,baseline,mean_opt,mean_base,mean_diff,median_opt,median_base,p_ranksum,p_bh,significant_bh_0.05
OSA,precision,MGO,SVM,0.6689157369519367,0.6973286554021045,-0.0284129184501678,0.6733333333333333,0.6929411764705883,0.189543984158981,0.31590664026496834,False
OSA,precision,MGO,MLP,0.6689157369519367,0.6334254062106606,0.035490330741276166,0.6733333333333333,0.645,0.09619629624919565,0.24049074062298914,False
OSA,precision,MGO,LR,0.6689157369519367,0.633092828795918,0.03582290815601874,0.6733333333333333,0.6291666666666667,0.09619629624919565,0.24049074062298914,False
OSA,precision,MGO,XGB,0.6689157369519367,0.6392674075038793,0.029648329448057398,0.6733333333333333,0.6460869565217391,0.09352184948628163,0.24049074062298914,False
OSA,precision,MGO,ELM,0.6689157369519367,0.6331832103377711,0.035732526614165594,0.6733333333333333,0.6521739130434783,0.17621399555130546,0.31590664026496834,False
OSA,precision,RUN,SVM,0.6590473624246174,0.6973286554021045,-0.03828129297748717,0.6609195402298851,0.6929411764705883,0.14409646897982906,0.31590664026496834,False
OSA,precision,RUN,MLP,0.6590473624246174,0.6334254062106606,0.025621956213956798,0.6609195402298851,0.645,0.21840551261012597,0.33423750532884616,False
OSA,precision,RUN,LR,0.6590473624246174,0.633092828795918,0.025954533628699372,0.6609195402298851,0.6291666666666667,0.159544659377869,0.31590664026496834,False
OSA,precision,RUN,XGB,0.6590473624246174,0.6392674075038793,0.01977995492073803,0.6609195402298851,0.6460869565217391,0.2339662537301923,0.33423750532884616,False
OSA,precision,RUN,ELM,0.6590473624246174,0.6331832103377711,0.025864152086846226,0.6609195402298851,0.6521739130434783,0.40935585574217404,0.4548398397135267,False
OSA,precision,CLPSO,SVM,0.6798204983422373,0.6973286554021045,-0.01750815705986719,0.6818181818181818,0.6929411764705883,0.49033426450951045,0.49033426450951045,False
OSA,precision,CLPSO,MLP,0.6798204983422373,0.6334254062106606,0.046395092131576776,0.6818181818181818,0.645,0.022269911309813137,0.17092848005870387,False
OSA,precision,CLPSO,LR,0.6798204983422373,0.633092828795918,0.04672766954631935,0.6818181818181818,0.6291666666666667,0.02563927200880558,0.17092848005870387,False
OSA,precision,CLPSO,XGB,0.6798204983422373,0.6392674075038793,0.04055309083835801,0.6818181818181818,0.6460869565217391,0.01860472501001714,0.17092848005870387,False
OSA,precision,CLPSO,ELM,0.6798204983422373,0.6331832103377711,0.046637288004466204,0.6818181818181818,0.6521739130434783,0.043880384461220855,0.21940192230610428,False
OSA,precision,GA,SVM,0.6541221163096163,0.6973286554021045,-0.04320653909248828,0.6614583333333333,0.6929411764705883,0.06011064176288863,0.2404425670515545,False
OSA,precision,GA,MLP,0.6541221163096163,0.6334254062106606,0.020696710098955684,0.6614583333333333,0.645,0.26740703807111565,0.3565427174281542,False
OSA,precision,GA,LR,0.6541221163096163,0.633092828795918,0.021029287513698258,0.6614583333333333,0.6291666666666667,0.40172032908792543,0.4548398397135267,False
OSA,precision,GA,XGB,0.6541221163096163,0.6392674075038793,0.014854708805736916,0.6614583333333333,0.6460869565217391,0.379331935127312,0.4548398397135267,False
OSA,precision,GA,ELM,0.6541221163096163,0.6331832103377711,0.020938905971845112,0.6614583333333333,0.6521739130434783,0.49033426450951045,0.49033426450951045,False
OSA,recall,MGO,SVM,0.6639999999999999,0.544,0.11999999999999988,0.66,0.52,0.00039476098122862485,0.0026317398748574986,True
OSA,recall,MGO,MLP,0.6639999999999999,0.616,0.04799999999999993,0.66,0.64,0.1555699325877425,0.16375782377657103,False
OSA,recall,MGO,LR,0.6639999999999999,0.604,0.05999999999999994,0.66,0.6,0.01860472501001714,0.02657817858573877,True
OSA,recall,MGO,XGB,0.6639999999999999,0.5599999999999999,0.10399999999999998,0.66,0.5800000000000001,0.0013485824363168647,0.004495274787722882,True
OSA,recall,MGO,ELM,0.6639999999999999,0.6020000000000001,0.06199999999999983,0.66,0.6,0.006830255863044082,0.013660511726088165,True
OSA,recall,RUN,SVM,0.6740000000000002,0.544,0.13000000000000012,0.68,0.52,0.00022220262013680647,0.0026317398748574986,True
OSA,recall,RUN,MLP,0.6740000000000002,0.616,0.05800000000000016,0.68,0.64,0.0989315992014087,0.12366449900176088,False
OSA,recall,RUN,LR,0.6740000000000002,0.604,0.07000000000000017,0.68,0.6,0.013833498919863277,0.021282306030558886,True
OSA,recall,RUN,XGB,0.6740000000000002,0.5599999999999999,0.11400000000000021,0.68,0.5800000000000001,0.0007959163393098394,0.0031836653572393575,True
OSA,recall,RUN,ELM,0.6740000000000002,0.6020000000000001,0.07200000000000006,0.68,0.6,0.0055604599321374135,0.012879818834927092,True
OSA,recall,CLPSO,SVM,0.642,0.544,0.09799999999999998,0.64,0.52,0.005795918475717191,0.012879818834927092,True
OSA,recall,CLPSO,MLP,0.642,0.616,0.026000000000000023,0.64,0.64,0.6849253186565316,0.6849253186565316,False
OSA,recall,CLPSO,LR,0.642,0.604,0.038000000000000034,0.64,0.6,0.14041971470550127,0.15602190522833476,False
OSA,recall,CLPSO,XGB,0.642,0.5599999999999999,0.08200000000000007,0.64,0.5800000000000001,0.013320516023599963,0.021282306030558886,True
OSA,recall,CLPSO,ELM,0.642,0.6020000000000001,0.039999999999999925,0.64,0.6,0.058290580139488755,0.07772077351931835,False
OSA,recall,GA,SVM,0.6739999999999999,0.544,0.1299999999999999,0.66,0.52,0.0003047989167029453,0.0026317398748574986,True
OSA,recall,GA,MLP,0.6739999999999999,0.616,0.05799999999999994,0.66,0.64,0.1332831707493199,0.15602190522833476,False
