run,seed,model,accuracy,f1,roc_auc
11,52,CLPSO,0.5272727272727272,0.5357142857142857,0.47600000000000003
11,52,GA,0.4909090909090909,0.46153846153846156,0.5426666666666667
12,53,SVM,0.7272727272727273,0.6153846153846154,0.7786666666666667
12,53,MLP,0.6181818181818182,0.5531914893617021,0.664
12,53,LR,0.6545454545454545,0.6274509803921569,0.6933333333333334
12,53,XGB,0.7090909090909091,0.6521739130434783,0.752
12,53,ELM,0.6545454545454545,0.6122448979591837,0.6493333333333333
12,53,MGO,0.6,0.5416666666666666,0.5706666666666667
12,53,RUN,0.7272727272727273,0.6938775510204082,0.68
12,53,CLPSO,0.6545454545454545,0.5777777777777777,0.7146666666666667
12,53,GA,0.6909090909090909,0.6222222222222222,0.7586666666666667
13,54,SVM,0.7090909090909091,0.7037037037037037,0.7919999999999999
13,54,MLP,0.6545454545454545,0.6415094339622641,0.7546666666666666
13,54,LR,0.6909090909090909,0.6909090909090909,0.792
13,54,XGB,0.6,0.6071428571428571,0.6266666666666667
13,54,ELM,0.7454545454545455,0.7307692307692307,0.752
13,54,MGO,0.6909090909090909,0.7017543859649122,0.6813333333333333
13,54,RUN,0.6363636363636364,0.6153846153846154,0.6826666666666666
13,54,CLPSO,0.5818181818181818,0.5490196078431373,0.6373333333333333
13,54,GA,0.6181818181818182,0.6181818181818182,0.684
14,55,SVM,0.7090909090909091,0.68,0.7626666666666666
14,55,MLP,0.6727272727272727,0.6666666666666666,0.752
14,55,LR,0.6909090909090909,0.6792452830188679,0.7333333333333333
14,55,XGB,0.6909090909090909,0.6530612244897959,0.7160000000000001
14,55,ELM,0.6909090909090909,0.6382978723404256,0.652
14,55,MGO,0.7090909090909091,0.7037037037037037,0.7080000000000001
14,55,RUN,0.6,0.5416666666666666,0.6666666666666667
14,55,CLPSO,0.7090909090909091,0.6923076923076923,0.7866666666666667
14,55,GA,0.6545454545454545,0.6415094339622641,0.72
15,56,SVM,0.7272727272727273,0.6666666666666666,0.7626666666666666
15,56,MLP,0.6,0.5769230769230769,0.756
15,56,LR,0.6363636363636364,0.6,0.7386666666666667
15,56,XGB,0.6,0.5217391304347826,0.632
15,56,ELM,0.7272727272727273,0.7058823529411765,0.772
15,56,MGO,0.7636363636363637,0.7450980392156863,0.812
15,56,RUN,0.5636363636363636,0.5555555555555556,0.6666666666666667
15,56,CLPSO,0.7090909090909091,0.6521739130434783,0.8106666666666666
15,56,GA,0.6363636363636364,0.5833333333333334,0.6479999999999999
16,57,SVM,0.5818181818181818,0.46511627906976744,0.6146666666666666
16,57,MLP,0.6363636363636364,0.6296296296296297,0.6960000000000001
16,57,LR,0.6,0.5217391304347826,0.648
16,57,XGB,0.5454545454545454,0.4897959183673469,0.5546666666666666
16,57,ELM,0.5272727272727272,0.5185185185185185,0.62
16,57,MGO,0.7090909090909091,0.6923076923076923,0.7573333333333333
16,57,RUN,0.6363636363636364,0.6153846153846154,0.7373333333333334
16,57,CLPSO,0.5818181818181818,0.46511627906976744,0.6279999999999999
16,57,GA,0.6,0.5769230769230769,0.58
17,58,SVM,0.7454545454545455,0.6956521739130435,0.8093333333333333
17,58,MLP,0.7090909090909091,0.68,0.7120000000000001
17,58,LR,0.6727272727272727,0.64,0.6839999999999999
17,58,XGB,0.7090909090909091,0.6666666666666666,0.7160000000000001
17,58,ELM,0.6,0.56,0.6386666666666667
17,58,MGO,0.6727272727272727,0.6538461538461539,0.644
17,58,RUN,0.7636363636363637,0.723404255319149,0.7293333333333334
17,58,CLPSO,0.6909090909090909,0.6909090909090909,0.744
17,58,GA,0.5818181818181818,0.5818181818181818,0.5986666666666667
18,59,SVM,0.7090909090909091,0.6521739130434783,0.7733333333333333
18,59,MLP,0.7454545454545455,0.7083333333333334,0.7733333333333333
18,59,LR,0.7090909090909091,0.6521739130434783,0.7946666666666666
18,59,XGB,0.6909090909090909,0.6222222222222222,0.76
18,59,ELM,0.6727272727272727,0.6086956521739131,0.7413333333333334
18,59,MGO,0.5818181818181818,0.5818181818181818,0.6546666666666667
18,59,RUN,0.7272727272727273,0.7169811320754716,0.752
