algo,run_id,seed,train_time_sec,test_time_sec,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
HIWOA,12,54,13.567386500000111,0.0003191000000697386,0.82,0.8106666666666666,0.9967213114754099,0.8941176470588236,0.7456082830025884,24,71,1,304
HIWOA,13,55,12.915224999999737,0.00016789999972388614,0.825,0.821917808219178,0.9836065573770492,0.8955223880597015,0.7564452113891285,30,65,5,300
HIWOA,14,56,12.35767580000038,0.00017429999979867716,0.8125,0.8125,0.980327868852459,0.888558692421991,0.7417083692838653,26,69,6,299
HIWOA,15,57,12.855227300000024,0.00010030000021288288,0.825,0.816711590296496,0.9934426229508196,0.8964497041420119,0.7729421915444348,27,68,2,303
HIWOA,16,58,12.489315400000123,7.259999983943999e-05,0.8175,0.8152173913043478,0.9836065573770492,0.8915304606240714,0.6977049180327869,27,68,5,300
HIWOA,17,59,13.627652699999999,8.569999999963329e-05,0.815,0.8130081300813008,0.9836065573770492,0.8902077151335311,0.7437100949094047,26,69,5,300
HIWOA,18,60,12.708613400000104,7.80000000304426e-05,0.825,0.8236914600550964,0.980327868852459,0.8952095808383234,0.7627610008628128,31,64,6,299
HIWOA,19,61,12.405116599999928,0.00019459999975879327,0.8275,0.8277777777777777,0.9770491803278688,0.8962406015037594,0.7397411561691113,33,62,7,298
HIWOA,20,62,13.234938599999623,7.679999998799758e-05,0.82,0.8140161725067385,0.9901639344262295,0.893491124260355,0.7503019844693702,26,69,3,302
GWO,1,43,10.443964700000379,8.989999969344353e-05,0.8625,0.8531073446327684,0.9901639344262295,0.9165402124430956,0.7765314926660916,43,52,3,302
GWO,2,44,10.744323999999779,0.00011959999983446323,0.8725,0.8587570621468926,0.9967213114754099,0.9226100151745068,0.7807075064710958,45,50,1,304
GWO,3,45,10.267552300000261,0.00013730000000578002,0.8575,0.8444444444444444,0.9967213114754099,0.9142857142857143,0.7791889559965488,39,56,1,304
GWO,4,46,10.622258299999885,0.00012809999998353305,0.8625,0.8551136363636364,0.9868852459016394,0.9162861491628614,0.7936496980155305,44,51,4,301
GWO,5,47,10.695317599999726,7.120000009308569e-05,0.875,0.8632478632478633,0.9934426229508196,0.9237804878048781,0.7850905953408109,47,48,2,303
GWO,6,48,10.352331500000219,6.860000030428637e-05,0.87,0.8583569405099151,0.9934426229508196,0.9209726443768997,0.7913028472821397,45,50,2,303
GWO,7,49,10.446562200000244,0.0001578999999765074,0.875,0.8611898016997167,0.9967213114754099,0.9240121580547113,0.8045901639344262,46,49,1,304
GWO,8,50,10.406481699999858,0.0001376999998683459,0.875,0.8653295128939829,0.9901639344262295,0.9235474006116208,0.826367558239862,48,47,3,302
GWO,9,51,11.137304200000017,0.00020979999999326537,0.875,0.8611898016997167,0.9967213114754099,0.9240121580547113,0.7724245038826575,46,49,1,304
GWO,10,52,10.637426100000084,7.770000001983135e-05,0.8725,0.8607954545454546,0.9934426229508196,0.9223744292237442,0.8154270923209663,46,49,2,303
GWO,11,53,10.063613100000111,0.00022349999971993384,0.8725,0.8628571428571429,0.9901639344262295,0.9221374045801527,0.8024158757549612,47,48,3,302
GWO,12,54,10.24494629999981,0.00013630000012199162,0.8925,0.8786127167630058,0.9967213114754099,0.9339477726574501,0.7972044866264021,53,42,1,304
GWO,13,55,11.254705700000159,9.929999987434712e-05,0.8625,0.851123595505618,0.9934426229508196,0.9167927382753404,0.7924417601380501,42,53,2,303
GWO,14,56,10.304382100000112,0.00017419999994672253,0.8625,0.8472222222222222,1.0,0.9172932330827067,0.7532010353753236,40,55,0,305
GWO,15,57,10.293097900000248,0.0003022999999302556,0.8775,0.8636363636363636,0.9967213114754099,0.9254185692541856,0.7846419327006039,47,48,1,304
GWO,16,58,10.937374499999805,0.00012999999989915523,0.8075,0.7984293193717278,1.0,0.8879184861717613,0.7126833477135461,18,77,0,305
GWO,17,59,10.628451999999925,9.129999989454518e-05,0.865,0.8515406162464986,0.9967213114754099,0.918429003021148,0.7719413287316653,42,53,1,304
GWO,18,60,10.63204080000014,6.359999997584964e-05,0.8675,0.8519553072625698,1.0,0.9200603318250377,0.7731147540983607,42,53,0,305
GWO,19,61,10.065940100000262,6.590000020878506e-05,0.8975,0.8859649122807017,0.9934426229508196,0.9366306027820711,0.8320276100086281,56,39,2,303
GWO,20,62,10.204516899999817,0.00015859999984968454,0.8575,0.8425414364640884,1.0,0.9145427286356822,0.7826056945642795,38,57,0,305
HGS,1,43,13.378655600000002,0.00018469999986336916,0.8125,0.8108108108108109,0.9836065573770492,0.8888888888888888,0.7574460742018981,25,70,5,300
HGS,2,44,12.753513099999964,0.0001277999999729218,0.8025,0.798941798941799,0.9901639344262295,0.8843338213762811,0.7292148403796377,19,76,3,302
HGS,3,45,9.312599699999737,6.810000013501849e-05,0.8,0.793733681462141,0.9967213114754099,0.8837209302325582,0.7123037100949093,16,79,1,304
HGS,4,46,10.922131499999978,0.00023950000013428507,0.8075,0.8064516129032258,0.9836065573770492,0.8862629246676514,0.7652459016393443,23,72,5,300
HGS,5,47,10.25070770000002,0.00010250000013911631,0.8175,0.8152173913043478,0.9836065573770492,0.8915304606240714,0.7101639344262296,27,68,5,300
HGS,6,48,10.764596000000438,7.70000001466542e-05,0.8175,0.8118279569892473,0.9901639344262295,0.8921713441654358,0.7508886971527178,25,70,3,302
HGS,7,49,10.337088799999947,0.00021500000002561137,0.8075,0.8064516129032258,0.9836065573770492,0.8862629246676514,0.7339775668679898,23,72,5,300
HGS,8,50,10.068870600000082,0.0001042999997480365,0.8125,0.8074866310160428,0.9901639344262295,0.8895434462444771,0.7148921484037963,23,72,3,302
HGS,9,51,10.220115199999782,7.619999996677507e-05,0.81,0.8053333333333333,0.9901639344262295,0.888235294117647,0.7310785159620361,22,73,3,302
HGS,10,52,10.842219000000114,0.00012219999962326256,0.81,0.8119891008174387,0.9770491803278688,0.8869047619047619,0.7343572044866264,26,69,7,298
HGS,11,53,9.680797199999688,0.00021079999987705378,0.8075,0.8114754098360656,0.9737704918032787,0.8852459016393442,0.7550301984469371,26,69,8,297
HGS,12,54,10.14249000000018,0.00019290000000182772,0.8225,0.8179347826086957,0.9868852459016394,0.8945022288261516,0.7226574633304572,28,67,4,301
HGS,13,55,10.649801699999898,0.0001637000000300759,0.81,0.806970509383378,0.9868852459016394,0.887905604719764,0.7470923209663503,23,72,4,301
HGS,14,56,10.082399700000224,0.00013420000004771282,0.8075,0.8064516129032258,0.9836065573770492,0.8862629246676514,0.7184124245038827,23,72,5,300
HGS,15,57,10.294137399999727,0.00014509999982692534,0.81,0.8053333333333333,0.9901639344262295,0.888235294117647,0.7183779119930976,22,73,3,302
HGS,16,58,10.8298549000001,0.0002495000003364112,0.82,0.8106666666666666,0.9967213114754099,0.8941176470588236,0.6880759275237274,24,71,1,304
HGS,17,59,10.131314000000202,0.00019310000016048434,0.8175,0.8152173913043478,0.9836065573770492,0.8915304606240714,0.7000172562553926,27,68,5,300
HGS,18,60,10.14092189999974,7.10999997863837e-05,0.8225,0.8145161290322581,0.9934426229508196,0.8951255539143279,0.7236238136324418,26,69,2,303
HGS,19,61,10.260870000000068,8.710000020073494e-05,0.8125,0.8091397849462365,0.9868852459016394,0.8892171344165436,0.7362899050905953,24,71,4,301
HGS,20,62,10.157826099999966,0.0002632999999150343,0.8175,0.8135135135135135,0.9868852459016394,0.8918518518518519,0.7490250215703192,26,69,4,301
HHO,1,43,21.440582299999733,0.0004117999997106381,0.8125,0.8074866310160428,0.9901639344262295,0.8895434462444771,0.7568938740293356,23,72,3,302
HHO,2,44,19.30932840000014,0.00018039999986285693,0.8225,0.8162162162162162,0.9901639344262295,0.8948148148148148,0.7605176876617774,27,68,3,302
HHO,3,45,18.056889399999818,7.150000010369695e-05,0.8025,0.803763440860215,0.980327868852459,0.8833087149187593,0.7321829163071614,22,73,6,299
HHO,4,46,19.73309500000005,8.139999999912106e-05,0.8075,0.8031914893617021,0.9901639344262295,0.8869309838472834,0.711993097497843,21,74,3,302
HHO,5,47,18.162354100000357,0.00012449999985619797,0.8125,0.8091397849462365,0.9868852459016394,0.8892171344165436,0.7077480586712683,24,71,4,301
HHO,6,48,18.686345999999958,0.00010310000016033882,0.825,0.816711590296496,0.9934426229508196,0.8964497041420119,0.7494736842105263,27,68,2,303
HHO,7,49,18.338897999999972,0.00014590000000680448,0.8075,0.8031914893617021,0.9901639344262295,0.8869309838472834,0.739016393442623,21,74,3,302
HHO,8,50,17.22335800000019,0.00012339999966570758,0.8225,0.8162162162162162,0.9901639344262295,0.8948148148148148,0.7566522864538394,27,68,3,302
HHO,9,51,18.22581309999987,0.00022500000022773747,0.805,0.8010610079575596,0.9901639344262295,0.8856304985337243,0.7205867126833477,20,75,3,302
