run,seed,model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,train_time_sec,test_time_sec
7,48,XGB,0.8767123287671232,0.8842105263157894,0.84,0.8615384615384616,0.9515126050420167,108,11,16,84,0.022579699999999647,0.0009677000000003488
7,48,MLP,0.9634703196347032,0.9339622641509434,0.99,0.9611650485436893,0.9929411764705882,112,7,1,99,0.3766448000000011,0.0011144999999999072
7,48,KNN,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.007826000000001443,0.0054840999999985485
7,48,DT,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.0056688000000004735,0.0006465000000002163
8,49,ELM,0.7945205479452054,0.7894736842105263,0.75,0.7692307692307693,0.7909663865546218,99,20,25,75,0.0026740000000007313,0.00015169999999997685
8,49,LogReg,0.7671232876712328,0.7634408602150538,0.71,0.7357512953367875,0.8420168067226891,97,22,29,71,0.005395000000000039,0.00044530000000087
8,49,RF,0.9908675799086758,0.99,0.99,0.99,0.9998319327731092,118,1,1,99,0.0723495000000014,0.008161599999999325
8,49,SVC_RBF,0.8401826484018264,0.9012345679012346,0.73,0.8066298342541437,0.9401680672268908,111,8,27,73,0.07648719999999898,0.008603900000000664
8,49,XGB,0.8812785388127854,0.9111111111111111,0.82,0.8631578947368421,0.9564705882352941,111,8,18,82,0.03129259999999867,0.0012961000000011325
8,49,MLP,0.9634703196347032,0.96,0.96,0.96,0.9950420168067227,115,4,4,96,0.4487647000000017,0.001586400000000765
8,49,KNN,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.010060200000001629,0.004385099999996811
8,49,DT,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.009958900000000881,0.0013585999999996545
9,50,ELM,0.7899543378995434,0.8,0.72,0.7578947368421053,0.7843697478991597,101,18,28,72,0.005624599999997315,0.00038029999999977804
9,50,LogReg,0.7488584474885844,0.7528089887640449,0.67,0.708994708994709,0.8358823529411765,97,22,33,67,0.011201299999999748,0.0004156000000001825
9,50,RF,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.09446930000000009,0.008003600000002109
9,50,SVC_RBF,0.8584474885844748,0.8791208791208791,0.8,0.837696335078534,0.9413445378151262,108,11,20,80,0.09753750000000139,0.008879299999996704
9,50,XGB,0.8904109589041096,0.9042553191489362,0.85,0.8762886597938144,0.9600840336134454,110,9,15,85,0.027650500000000022,0.001808399999998045
9,50,MLP,0.958904109589041,0.9333333333333333,0.98,0.9560975609756097,0.9961344537815126,112,7,2,98,0.4521385000000002,0.0007753999999984273
9,50,KNN,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.010305599999998805,0.0051333000000006734
9,50,DT,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.00928779999999918,0.000980500000000717
10,51,ELM,0.7945205479452054,0.7777777777777778,0.77,0.7738693467336684,0.792563025210084,97,22,23,77,0.004573000000000604,0.0002081999999994366
10,51,LogReg,0.7534246575342466,0.7555555555555555,0.68,0.7157894736842105,0.8516806722689076,97,22,32,68,0.019632900000001285,0.0018028999999977202
10,51,RF,0.9954337899543378,1.0,0.99,0.9949748743718593,0.9998319327731093,119,0,1,99,0.09656039999999777,0.01092260000000067
10,51,SVC_RBF,0.867579908675799,0.9080459770114943,0.79,0.8449197860962567,0.9427731092436975,111,8,21,79,0.07786190000000204,0.01391479999999845
10,51,XGB,0.863013698630137,0.8804347826086957,0.81,0.84375,0.9594957983193277,108,11,19,81,0.03924729999999954,0.0018814999999996473
10,51,MLP,0.958904109589041,0.9595959595959596,0.95,0.9547738693467337,0.9952941176470588,115,4,5,95,0.5424220999999996,0.0009963000000006161
10,51,KNN,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.012078699999999998,0.006270300000000617
10,51,DT,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.008580200000000815,0.0006242000000007408
11,52,ELM,0.7351598173515982,0.7560975609756098,0.62,0.6813186813186813,0.7259663865546219,99,20,38,62,0.005789400000001166,0.00017319999999898528
11,52,LogReg,0.776255707762557,0.7741935483870968,0.72,0.7461139896373057,0.8690756302521009,98,21,28,72,0.011826400000000348,0.0007763999999994553
11,52,RF,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.11050279999999901,0.010102899999999693
11,52,SVC_RBF,0.8812785388127854,0.9302325581395349,0.8,0.8602150537634409,0.9494957983193276,113,6,20,80,0.0661264000000017,0.009199599999998753
11,52,XGB,0.9315068493150684,0.967032967032967,0.88,0.9214659685863874,0.9716806722689075,116,3,12,88,0.04168319999999781,0.002181500000002501
11,52,MLP,0.9634703196347032,0.96,0.96,0.96,0.9921008403361344,115,4,4,96,0.5764534000000019,0.001260199999997269
11,52,KNN,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.011911399999998906,0.005079999999999529
11,52,DT,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.00895399999999924,0.0004545999999976402
12,53,ELM,0.7671232876712328,0.7752808988764045,0.69,0.7301587301587301,0.7609663865546218,99,20,31,69,0.003222700000002021,9.459999999705815e-05
12,53,LogReg,0.7488584474885844,0.7419354838709677,0.69,0.7150259067357513,0.8401680672268909,95,24,31,69,0.012103799999998444,0.0010305999999999926
12,53,RF,1.0,1.0,1.0,1.0,0.9999999999999999,119,0,0,100,0.07447400000000215,0.010353599999998409
12,53,SVC_RBF,0.863013698630137,0.8888888888888888,0.8,0.8421052631578947,0.941344537815126,109,10,20,80,0.050980200000001474,0.0038251000000002477
12,53,XGB,0.8812785388127854,0.9021739130434783,0.83,0.8645833333333334,0.9602521008403362,110,9,17,83,0.02774880000000124,0.0019217999999980862
12,53,MLP,0.9452054794520548,0.9489795918367347,0.93,0.9393939393939394,0.9919327731092437,114,5,7,93,0.44347349999999963,0.0005756000000012307
12,53,KNN,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.009129800000000188,0.004426500000000999
12,53,DT,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.00469619999999793,0.000389099999999587
13,54,ELM,0.7397260273972602,0.7415730337078652,0.66,0.6984126984126984,0.7333613445378152,96,23,34,66,0.0023716000000000292,9.700000000023579e-05
13,54,LogReg,0.7488584474885844,0.7472527472527473,0.68,0.7120418848167539,0.8322689075630252,96,23,32,68,0.006655399999999645,0.0004903000000027191
13,54,RF,0.9954337899543378,1.0,0.99,0.9949748743718593,1.0,119,0,1,99,0.0709023000000002,0.004208099999999604
13,54,SVC_RBF,0.867579908675799,0.9080459770114943,0.79,0.8449197860962567,0.9327731092436974,111,8,21,79,0.049633499999998776,0.005087300000003125
13,54,XGB,0.8767123287671232,0.9101123595505618,0.81,0.8571428571428571,0.9621848739495799,111,8,19,81,0.03829619999999778,0.0022580000000012035
13,54,MLP,0.958904109589041,0.9595959595959596,0.95,0.9547738693467337,0.9929411764705882,115,4,5,95,0.3621099000000001,0.001616800000000751
13,54,KNN,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.015184000000001419,0.006860299999999597
13,54,DT,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.008698899999998844,0.00041669999999882634
14,55,ELM,0.776255707762557,0.7802197802197802,0.71,0.743455497382199,0.7709663865546218,99,20,29,71,0.004359699999998412,0.00010160000000070113
14,55,LogReg,0.7442922374429224,0.75,0.66,0.7021276595744681,0.8437815126050421,97,22,34,66,0.008605100000000476,0.0006206999999989193
14,55,RF,0.9954337899543378,0.9900990099009901,1.0,0.9950248756218906,1.0,118,1,0,100,0.08561230000000108,0.010598599999998015
14,55,SVC_RBF,0.8401826484018264,0.9012345679012346,0.73,0.8066298342541437,0.9330252100840335,111,8,27,73,0.04912069999999957,0.012035900000000765
14,55,XGB,0.8904109589041096,0.9318181818181818,0.82,0.8723404255319149,0.9671428571428572,113,6,18,82,0.026849200000000906,0.0019790999999997894
14,55,MLP,0.954337899543379,0.9411764705882353,0.96,0.9504950495049505,0.9949579831932773,113,6,4,96,0.4243830000000024,0.0007458000000006848
14,55,KNN,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.010717999999997119,0.004418700000002218
14,55,DT,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.004286499999999194,0.0004142000000015855
15,56,ELM,0.776255707762557,0.7524752475247525,0.76,0.7562189054726368,0.7749579831932774,94,25,24,76,0.002720699999997578,0.00013810000000091804
15,56,LogReg,0.7534246575342466,0.75,0.69,0.71875,0.8333613445378151,96,23,31,69,0.006934300000001059,0.0005546999999985758
15,56,RF,0.9954337899543378,1.0,0.99,0.9949748743718593,0.9999159663865547,119,0,1,99,0.056093000000000615,0.007371300000002634
15,56,SVC_RBF,0.8310502283105022,0.8987341772151899,0.71,0.7932960893854749,0.9351680672268907,111,8,29,71,0.0626977999999987,0.01202029999999965
15,56,XGB,0.8767123287671232,0.9101123595505618,0.81,0.8571428571428571,0.9584873949579833,111,8,19,81,0.030960499999999058,0.002017399999999725
15,56,MLP,0.9452054794520548,0.9489795918367347,0.93,0.9393939393939394,0.9878991596638655,114,5,7,93,0.3869745999999985,0.0004843000000001041
15,56,KNN,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.00848399999999927,0.007027000000000783
15,56,DT,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.0049063000000018064,0.00031530000000046243
16,57,ELM,0.7945205479452054,0.7894736842105263,0.75,0.7692307692307693,0.7909663865546218,99,20,25,75,0.002421300000001736,7.940000000061787e-05
16,57,LogReg,0.7579908675799086,0.7701149425287356,0.67,0.7165775401069518,0.853109243697479,99,20,33,67,0.005150699999997954,0.0003716000000011377
16,57,RF,1.0,1.0,1.0,1.0,1.0,119,0,0,100,0.06124910000000128,0.006720200000000176
16,57,SVC_RBF,0.8447488584474886,0.875,0.77,0.8191489361702128,0.9376470588235295,108,11,23,77,0.03417040000000071,0.004085799999998585
16,57,XGB,0.9041095890410958,0.898989898989899,0.89,0.8944723618090452,0.9647899159663865,109,10,11,89,0.020990499999999912,0.0007844999999981894
16,57,MLP,0.958904109589041,0.941747572815534,0.97,0.9556650246305419,0.9900840336134453,113,6,3,97,0.3901253000000011,0.0015515000000014822
