algo,run_id,seed,train_time_sec,test_time_sec,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
RUN,9,51,21.935415200000023,0.00017799999994849713,0.908675799086758,0.9166666666666666,0.88,0.8979591836734694,0.9005882352941177,111,8,12,88
RUN,10,52,22.03592180000004,0.0001937000000111766,0.9178082191780822,0.9183673469387755,0.9,0.9090909090909091,0.8969747899159664,111,8,10,90
RUN,11,53,21.170607399999994,0.00019900000000916407,0.9178082191780822,0.9183673469387755,0.9,0.9090909090909091,0.9121848739495798,111,8,10,90
RUN,12,54,18.940043899999978,8.289999999533393e-05,0.8995433789954338,0.9239130434782609,0.85,0.8854166666666666,0.9085714285714285,112,7,15,85
RUN,13,55,20.268183799999974,0.0001356000000214408,0.8995433789954338,0.9148936170212766,0.86,0.8865979381443299,0.8830252100840336,111,8,14,86
RUN,14,56,20.20521409999992,0.0001349000000345768,0.9223744292237442,0.9278350515463918,0.9,0.9137055837563451,0.8984033613445379,112,7,10,90
RUN,15,57,19.986086,6.100000007336348e-05,0.9178082191780822,0.91,0.91,0.91,0.8987394957983194,110,9,9,91
RUN,16,58,19.710820099999978,5.55999999960477e-05,0.9178082191780822,0.9270833333333334,0.89,0.9081632653061225,0.9088235294117648,112,7,11,89
RUN,17,59,20.767317899999966,9.37999999450767e-05,0.9178082191780822,0.9361702127659575,0.88,0.9072164948453608,0.9403361344537815,113,6,12,88
RUN,18,60,20.00833519999992,0.00015880000000834116,0.8949771689497716,0.9230769230769231,0.84,0.8795811518324608,0.885798319327731,112,7,16,84
RUN,19,61,20.299668200000042,0.00011680000000069413,0.9041095890410958,0.9072164948453608,0.88,0.8934010152284264,0.9116806722689075,110,9,12,88
RUN,20,62,20.311924800000043,9.209999996073748e-05,0.9223744292237442,0.9029126213592233,0.93,0.916256157635468,0.9289075630252102,109,10,7,93
MEO,1,43,17.55315380000002,0.0002684999999473803,0.8812785388127854,0.9021739130434783,0.83,0.8645833333333334,0.8916806722689076,110,9,17,83
MEO,2,44,17.91067720000001,0.0002580999999963751,0.8904109589041096,0.8958333333333334,0.86,0.8775510204081632,0.8919327731092437,109,10,14,86
MEO,3,45,17.895523399999888,6.870000004255417e-05,0.9041095890410958,0.9072164948453608,0.88,0.8934010152284264,0.9234453781512605,110,9,12,88
MEO,4,46,17.182145799999944,0.00011190000009264622,0.8904109589041096,0.8877551020408163,0.87,0.8787878787878788,0.9026050420168067,108,11,13,87
MEO,5,47,18.331713000000036,0.00018999999997504347,0.863013698630137,0.9069767441860465,0.78,0.8387096774193549,0.8539495798319328,111,8,22,78
MEO,6,48,17.733814900000084,0.00011349999999765714,0.8858447488584474,0.8640776699029126,0.89,0.8768472906403941,0.900672268907563,105,14,11,89
MEO,7,49,18.451470099999938,0.0001029000000016822,0.8904109589041096,0.9042553191489362,0.85,0.8762886597938144,0.8850420168067227,110,9,15,85
MEO,8,50,17.992919200000074,0.00012419999995927355,0.8812785388127854,0.9021739130434783,0.83,0.8645833333333334,0.8894957983193278,110,9,17,83
MEO,9,51,17.00799559999996,0.00018450000004577305,0.8904109589041096,0.9318181818181818,0.82,0.8723404255319149,0.8803361344537816,113,6,18,82
MEO,10,52,16.958571399999983,9.190000002945453e-05,0.867579908675799,0.865979381443299,0.84,0.8527918781725888,0.8536134453781513,106,13,16,84
MEO,11,53,17.886735199999976,5.160000000614673e-05,0.8812785388127854,0.9021739130434783,0.83,0.8645833333333334,0.8730252100840336,110,9,17,83
MEO,12,54,18.45721709999998,0.0001331000000845961,0.863013698630137,0.8571428571428571,0.84,0.8484848484848485,0.8802521008403361,105,14,16,84
MEO,13,55,17.447454700000094,6.0700000062752224e-05,0.8721461187214612,0.86,0.86,0.86,0.8900840336134453,105,14,14,86
MEO,14,56,17.171127400000046,0.00013160000003153982,0.8767123287671232,0.9010989010989011,0.82,0.8586387434554974,0.8729411764705882,110,9,18,82
MEO,15,57,17.61559539999996,0.00015650000000277942,0.8721461187214612,0.8673469387755102,0.85,0.8585858585858586,0.8947058823529411,106,13,15,85
MEO,16,58,17.422913300000005,8.860000002641755e-05,0.8949771689497716,0.9052631578947369,0.86,0.882051282051282,0.9117647058823529,110,9,14,86
MEO,17,59,17.253974500000027,0.00023859999998876447,0.8812785388127854,0.9111111111111111,0.82,0.8631578947368421,0.8864705882352941,111,8,18,82
MEO,18,60,16.942259899999954,9.009999996578699e-05,0.908675799086758,0.9166666666666666,0.88,0.8979591836734694,0.9153781512605041,111,8,12,88
MEO,19,61,16.87951290000001,0.0001783000000159518,0.908675799086758,0.8846153846153846,0.92,0.9019607843137255,0.9090756302521008,107,12,8,92
MEO,20,62,16.727369100000033,6.680000001324515e-05,0.8721461187214612,0.8913043478260869,0.82,0.8541666666666666,0.8678151260504202,109,10,18,82
CLPSO,1,43,58.164011800000026,0.00012449999985619797,0.8538812785388128,0.8617021276595744,0.81,0.8350515463917526,0.8903361344537815,106,13,19,81
CLPSO,2,44,58.16100159999996,7.770000001983135e-05,0.8584474885844748,0.8876404494382022,0.79,0.8359788359788359,0.8653781512605042,109,10,21,79
CLPSO,3,45,54.10228529999995,0.00010010000005422626,0.8584474885844748,0.8631578947368421,0.82,0.841025641025641,0.8990756302521008,106,13,18,82
CLPSO,4,46,57.35939640000015,4.8699999979362474e-05,0.8493150684931506,0.8526315789473684,0.81,0.8307692307692308,0.8799159663865547,105,14,19,81
CLPSO,5,47,56.69991249999998,0.000120499999866297,0.8584474885844748,0.8709677419354839,0.81,0.8393782383419689,0.9038655462184874,107,12,19,81
CLPSO,6,48,57.70410889999994,0.00011549999999260763,0.8401826484018264,0.8494623655913979,0.79,0.8186528497409327,0.8459663865546218,105,14,21,79
CLPSO,7,49,58.25526669999999,0.00011300000005576294,0.8767123287671232,0.9010989010989011,0.82,0.8586387434554974,0.8881512605042017,110,9,18,82
CLPSO,8,50,58.265770199999906,0.00019560000009732903,0.863013698630137,0.9069767441860465,0.78,0.8387096774193549,0.8526890756302521,111,8,22,78
CLPSO,9,51,56.364328200000045,0.00029999999992469384,0.8584474885844748,0.8631578947368421,0.82,0.841025641025641,0.8661344537815127,106,13,18,82
CLPSO,10,52,55.57765949999998,0.00018430000000080327,0.8493150684931506,0.8764044943820225,0.78,0.8253968253968254,0.8692436974789916,108,11,22,78
CLPSO,11,53,57.71871080000005,0.0001522000000022672,0.8538812785388128,0.8617021276595744,0.81,0.8350515463917526,0.8832773109243697,106,13,19,81
CLPSO,12,54,52.81435299999998,5.5900000006658956e-05,0.8538812785388128,0.8617021276595744,0.81,0.8350515463917526,0.8842016806722689,106,13,19,81
CLPSO,13,55,57.010569599999826,0.0002191999999467953,0.8493150684931506,0.8602150537634409,0.8,0.8290155440414507,0.8594957983193277,106,13,20,80
CLPSO,14,56,56.013218699999925,0.00012570000012601668,0.8538812785388128,0.8469387755102041,0.83,0.8383838383838383,0.8934453781512606,104,15,17,83
CLPSO,15,57,55.991138299999875,0.00013289999992593948,0.8538812785388128,0.8695652173913043,0.8,0.8333333333333334,0.864453781512605,107,12,20,80
CLPSO,16,58,58.13655460000018,8.090000005722686e-05,0.8584474885844748,0.896551724137931,0.78,0.8342245989304813,0.86890756302521,110,9,22,78
CLPSO,17,59,56.09624409999992,0.00013760000001639128,0.8447488584474886,0.851063829787234,0.8,0.8247422680412371,0.8780672268907563,105,14,20,80
CLPSO,18,60,58.193825699999934,8.280000020022271e-05,0.8447488584474886,0.8113207547169812,0.86,0.8349514563106796,0.9029411764705882,99,20,14,86
CLPSO,19,61,56.341744199999994,0.00026840000009542564,0.8584474885844748,0.8556701030927835,0.83,0.8426395939086294,0.8841176470588235,105,14,17,83
CLPSO,20,62,55.31067350000012,0.0001216000000567874,0.8538812785388128,0.8953488372093024,0.77,0.8279569892473119,0.87109243697479,110,9,23,77
HIWOA,1,43,10.909326500000134,5.520000013348181e-05,0.863013698630137,0.8645833333333334,0.83,0.8469387755102041,0.7969747899159664,106,13,17,83
HIWOA,2,44,14.012094300000172,0.00015809999968041666,0.8538812785388128,0.8777777777777778,0.79,0.8315789473684211,0.8803361344537814,108,11,21,79
HIWOA,3,45,13.408530900000187,7.49000000723754e-05,0.8584474885844748,0.8876404494382022,0.79,0.8359788359788359,0.8544537815126051,109,10,21,79
HIWOA,4,46,12.390999700000066,0.00013760000001639128,0.8493150684931506,0.845360824742268,0.82,0.8324873096446701,0.8621008403361344,104,15,18,82
HIWOA,5,47,12.853733199999624,0.0001395999997839681,0.8447488584474886,0.8928571428571429,0.75,0.8152173913043478,0.8501680672268906,110,9,25,75
HIWOA,6,48,12.442741899999874,8.729999990464421e-05,0.867579908675799,0.8514851485148515,0.86,0.8557213930348259,0.9047058823529412,104,15,14,86
HIWOA,7,49,13.33169259999977,0.00023219999957291293,0.8493150684931506,0.8526315789473684,0.81,0.8307692307692308,0.8785714285714286,105,14,19,81
HIWOA,8,50,11.709340300000349,6.739999980709399e-05,0.8447488584474886,0.8586956521739131,0.79,0.8229166666666666,0.8769747899159663,106,13,21,79
HIWOA,9,51,13.418903799999953,0.00011590000030992087,0.8447488584474886,0.8173076923076923,0.85,0.8333333333333334,0.8732773109243697,100,19,15,85
HIWOA,10,52,13.127765799999906,0.00010750000001280569,0.8401826484018264,0.8350515463917526,0.81,0.8223350253807107,0.8491596638655463,103,16,19,81
HIWOA,11,53,12.57676629999969,0.00010130000009667128,0.863013698630137,0.8645833333333334,0.83,0.8469387755102041,0.8793277310924369,106,13,17,83
HIWOA,12,54,13.499701400000049,0.0004490999999688938,0.8493150684931506,0.8764044943820225,0.78,0.8253968253968254,0.8935294117647059,108,11,22,78
