run,seed,model,arm,tn,fp,fn,tp,accuracy,precision,recall,sensitivity,specificity,npv,f1,balanced_accuracy,gmean,mcc,roc_auc,pr_auc,brier
2,43,MLP,smote,7,17,26,50,0.57,0.746268656716418,0.6578947368421053,0.6578947368421053,0.2916666666666667,0.2121212121212121,0.6993006993006993,0.474780701754386,0.438047902531539,-0.0458121885053077,0.5367324561403509,0.7966696651878636,0.2446488750503001
2,43,MLP,threshold,14,10,39,37,0.51,0.7872340425531915,0.4868421052631579,0.4868421052631579,0.5833333333333334,0.2641509433962264,0.6016260162601627,0.5350877192982456,0.5329082735989145,0.0600496788190822,0.542763157894737,0.8005531920132901,0.1941653490391862
2,43,XGB,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.6074561403508771,0.8315642395429563,0.1773204220755264
2,43,XGB,smote,14,10,32,44,0.58,0.8148148148148148,0.5789473684210527,0.5789473684210527,0.5833333333333334,0.3043478260869565,0.676923076923077,0.5811403508771931,0.5811362131597153,0.1390604076955239,0.6513157894736842,0.8574138245505134,0.2266535500853289
2,43,XGB,classweight,10,14,27,49,0.59,0.7777777777777778,0.6447368421052632,0.6447368421052632,0.4166666666666667,0.2702702702702703,0.7050359712230215,0.5307017543859649,0.5183052680392058,0.0543168366143723,0.5959429824561404,0.8334822311397828,0.2319825157152147
2,43,XGB,threshold,6,18,8,68,0.74,0.7906976744186046,0.8947368421052632,0.8947368421052632,0.25,0.4285714285714285,0.8395061728395061,0.5723684210526316,0.4729526514634586,0.1781468987606327,0.6074561403508771,0.8315642395429563,0.1773204220755264
2,43,LR,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.6458333333333333,0.8225253759917984,0.1747997775399829
2,43,LR,smote,16,8,33,43,0.59,0.8431372549019608,0.5657894736842105,0.5657894736842105,0.6666666666666666,0.3265306122448979,0.6771653543307087,0.6162280701754386,0.6141603882180454,0.1985959152110742,0.6463815789473684,0.8159218431623102,0.2393148664987635
2,43,LR,classweight,16,8,30,46,0.62,0.8518518518518519,0.6052631578947368,0.6052631578947368,0.6666666666666666,0.3478260869565217,0.7076923076923077,0.6359649122807017,0.6352234031660235,0.2330201426249321,0.649671052631579,0.8229082585541228,0.236453867221425
2,43,LR,threshold,19,5,47,29,0.48,0.8529411764705882,0.3815789473684211,0.3815789473684211,0.7916666666666666,0.2878787878787879,0.5272727272727272,0.5866228070175439,0.5496210815947049,0.1561936016362604,0.6458333333333333,0.8225253759917984,0.1747997775399829
2,43,ELM,none,1,23,3,73,0.74,0.7604166666666666,0.9605263157894736,0.9605263157894736,0.0416666666666666,0.25,0.8488372093023255,0.5010964912280702,0.2000548170491313,0.0047794944556367,0.4868421052631579,0.762788274546243,0.2058134728964008
2,43,ELM,smote,7,17,32,44,0.51,0.7213114754098361,0.5789473684210527,0.5789473684210527,0.2916666666666667,0.1794871794871795,0.6423357664233577,0.4353070175438597,0.4109253571183057,-0.1132928142326149,0.4517543859649122,0.7508342949442738,0.2539626127590851
2,43,ELM,threshold,13,11,44,32,0.45,0.7441860465116279,0.4210526315789473,0.4210526315789473,0.5416666666666666,0.2280701754385964,0.5378151260504201,0.481359649122807,0.4775669329409192,-0.0321606516571658,0.4868421052631579,0.762788274546243,0.2058134728964008
2,43,MEO,none,4,20,6,70,0.74,0.7777777777777778,0.9210526315789472,0.9210526315789472,0.1666666666666666,0.4,0.8433734939759037,0.543859649122807,0.3918019549846893,0.1248781082108925,0.4906798245614035,0.756704287433056,0.2092365732124425
2,43,MEO,smote,8,16,34,42,0.5,0.7241379310344828,0.5526315789473685,0.5526315789473685,0.3333333333333333,0.1904761904761904,0.6268656716417911,0.4429824561403509,0.4291975376394761,-0.0986761680626062,0.481359649122807,0.7631959174657462,0.2521880039664872
2,43,MEO,threshold,7,17,22,54,0.61,0.7605633802816901,0.7105263157894737,0.7105263157894737,0.2916666666666667,0.2413793103448276,0.7346938775510204,0.5010964912280702,0.455232734000163,0.0020640461384527,0.4906798245614035,0.756704287433056,0.2092365732124425
2,43,HIWOA,none,1,23,3,73,0.74,0.7604166666666666,0.9605263157894736,0.9605263157894736,0.0416666666666666,0.25,0.8488372093023255,0.5010964912280702,0.2000548170491313,0.0047794944556367,0.4923245614035088,0.7792282912098022,0.2074480760018136
2,43,HIWOA,smote,8,16,26,50,0.58,0.7575757575757576,0.6578947368421053,0.6578947368421053,0.3333333333333333,0.2352941176470588,0.704225352112676,0.4956140350877193,0.468292905790847,-0.0079085367917093,0.537280701754386,0.8261359343047812,0.2345638224423228
