run,seed,model,arm,tn,fp,fn,tp,accuracy,precision,recall,sensitivity,specificity,npv,f1,balanced_accuracy,gmean,mcc,roc_auc,pr_auc,brier
2,43,MLP,none,1,23,1,75,0.76,0.7653061224489796,0.9868421052631579,0.9868421052631579,0.041666666666666664,0.5,0.8620689655172413,0.5142543859649122,0.20277677641345315,0.08696868250401443,0.542763157894737,0.8005531920132901,0.19416534903918628
2,43,MLP,smote,7,17,26,50,0.57,0.746268656716418,0.6578947368421053,0.6578947368421053,0.2916666666666667,0.21212121212121213,0.6993006993006993,0.474780701754386,0.438047902531539,-0.04581218850530777,0.5367324561403509,0.7966696651878636,0.24464887505030017
2,43,MLP,threshold,14,10,39,37,0.51,0.7872340425531915,0.4868421052631579,0.4868421052631579,0.5833333333333334,0.2641509433962264,0.6016260162601627,0.5350877192982456,0.5329082735989145,0.06004967881908229,0.542763157894737,0.8005531920132901,0.19416534903918628
2,43,XGB,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.6074561403508771,0.8315642395429563,0.17732042207552648
2,43,XGB,smote,14,10,32,44,0.58,0.8148148148148148,0.5789473684210527,0.5789473684210527,0.5833333333333334,0.30434782608695654,0.676923076923077,0.5811403508771931,0.5811362131597153,0.13906040769552397,0.6513157894736842,0.8574138245505134,0.22665355008532898
2,43,XGB,classweight,10,14,27,49,0.59,0.7777777777777778,0.6447368421052632,0.6447368421052632,0.4166666666666667,0.2702702702702703,0.7050359712230215,0.5307017543859649,0.5183052680392058,0.05431683661437237,0.5959429824561404,0.8334822311397828,0.23198251571521475
2,43,XGB,threshold,6,18,8,68,0.74,0.7906976744186046,0.8947368421052632,0.8947368421052632,0.25,0.42857142857142855,0.8395061728395061,0.5723684210526316,0.47295265146345866,0.17814689876063272,0.6074561403508771,0.8315642395429563,0.17732042207552648
2,43,LR,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.6458333333333333,0.8225253759917984,0.17479977753998294
2,43,LR,smote,16,8,33,43,0.59,0.8431372549019608,0.5657894736842105,0.5657894736842105,0.6666666666666666,0.32653061224489793,0.6771653543307087,0.6162280701754386,0.6141603882180454,0.19859591521107423,0.6463815789473684,0.8159218431623102,0.23931486649876352
2,43,LR,classweight,16,8,30,46,0.62,0.8518518518518519,0.6052631578947368,0.6052631578947368,0.6666666666666666,0.34782608695652173,0.7076923076923077,0.6359649122807017,0.6352234031660235,0.2330201426249321,0.649671052631579,0.8229082585541228,0.236453867221425
2,43,LR,threshold,19,5,47,29,0.48,0.8529411764705882,0.3815789473684211,0.3815789473684211,0.7916666666666666,0.2878787878787879,0.5272727272727272,0.5866228070175439,0.5496210815947049,0.15619360163626045,0.6458333333333333,0.8225253759917984,0.17479977753998294
2,43,ELM,none,1,23,3,73,0.74,0.7604166666666666,0.9605263157894737,0.9605263157894737,0.041666666666666664,0.25,0.8488372093023255,0.5010964912280702,0.2000548170491313,0.004779494455636703,0.4868421052631579,0.762788274546243,0.20581347289640084
2,43,ELM,smote,7,17,32,44,0.51,0.7213114754098361,0.5789473684210527,0.5789473684210527,0.2916666666666667,0.1794871794871795,0.6423357664233577,0.4353070175438597,0.4109253571183057,-0.11329281423261492,0.45175438596491224,0.7508342949442738,0.25396261275908516
2,43,ELM,threshold,13,11,44,32,0.45,0.7441860465116279,0.42105263157894735,0.42105263157894735,0.5416666666666666,0.22807017543859648,0.5378151260504201,0.481359649122807,0.47756693294091923,-0.03216065165716585,0.4868421052631579,0.762788274546243,0.20581347289640084
2,43,MEO,none,4,20,6,70,0.74,0.7777777777777778,0.9210526315789473,0.9210526315789473,0.16666666666666666,0.4,0.8433734939759037,0.543859649122807,0.39180195498468934,0.12487810821089254,0.4906798245614035,0.756704287433056,0.20923657321244257
2,43,MEO,smote,8,16,34,42,0.5,0.7241379310344828,0.5526315789473685,0.5526315789473685,0.3333333333333333,0.19047619047619047,0.6268656716417911,0.4429824561403509,0.4291975376394761,-0.09867616806260629,0.48135964912280704,0.7631959174657462,0.2521880039664872
2,43,MEO,threshold,7,17,22,54,0.61,0.7605633802816901,0.7105263157894737,0.7105263157894737,0.2916666666666667,0.2413793103448276,0.7346938775510204,0.5010964912280702,0.455232734000163,0.0020640461384527436,0.4906798245614035,0.756704287433056,0.20923657321244257
2,43,HIWOA,none,1,23,3,73,0.74,0.7604166666666666,0.9605263157894737,0.9605263157894737,0.041666666666666664,0.25,0.8488372093023255,0.5010964912280702,0.2000548170491313,0.004779494455636703,0.4923245614035088,0.7792282912098022,0.20744807600181367
2,43,HIWOA,smote,8,16,26,50,0.58,0.7575757575757576,0.6578947368421053,0.6578947368421053,0.3333333333333333,0.23529411764705882,0.704225352112676,0.4956140350877193,0.468292905790847,-0.00790853679170939,0.537280701754386,0.8261359343047812,0.2345638224423228
2,43,HIWOA,threshold,4,20,18,58,0.62,0.7435897435897436,0.7631578947368421,0.7631578947368421,0.16666666666666666,0.18181818181818182,0.7532467532467533,0.4649122807017544,0.35664125175887934,-0.07235006254538433,0.4923245614035088,0.7792282912098022,0.20744807600181367
2,43,HGS,none,0,24,3,73,0.73,0.7525773195876289,0.9605263157894737,0.9605263157894737,0.0,0.0,0.8439306358381503,0.48026315789473684,0.0,-0.09882653870858735,0.48793859649122806,0.7599990435595175,0.20959555055269788
2,43,HGS,smote,5,19,35,41,0.46,0.6833333333333333,0.5394736842105263,0.5394736842105263,0.20833333333333334,0.125,0.6029411764705882,0.37390350877192985,0.3352467015157539,-0.21985674495928836,0.3925438596491228,0.7459803661099397,0.26428824057905187
2,43,HGS,threshold,6,18,21,55,0.61,0.7534246575342466,0.7236842105263158,0.7236842105263158,0.25,0.2222222222222222,0.738255033557047,0.4868421052631579,0.42534815461170034,-0.02531544163857475,0.48793859649122806,0.7599990435595175,0.20959555055269788
2,43,HHO,none,1,23,3,73,0.74,0.7604166666666666,0.9605263157894737,0.9605263157894737,0.041666666666666664,0.25,0.8488372093023255,0.5010964912280702,0.2000548170491313,0.004779494455636703,0.49177631578947373,0.7686425371821853,0.20801399274535304
2,43,HHO,smote,9,15,28,48,0.57,0.7619047619047619,0.631578947368421,0.631578947368421,0.375,0.24324324324324326,0.6906474820143885,0.5032894736842105,0.4866642633922876,0.005819661065825612,0.5076754385964912,0.7973425939836991,0.2401321770029271
2,43,HHO,threshold,10,14,32,44,0.54,0.7586206896551724,0.5789473684210527,0.5789473684210527,0.4166666666666667,0.23809523809523808,0.6567164179104478,0.4978070175438597,0.49114974312875154,-0.003795237233177165,0.49177631578947373,0.7686425371821853,0.20801399274535304
3,44,SVM,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.4725877192982456,0.7679893371228697,0.18307373952697997
3,44,SVM,smote,4,20,18,58,0.62,0.7435897435897436,0.7631578947368421,0.7631578947368421,0.16666666666666666,0.18181818181818182,0.7532467532467533,0.4649122807017544,0.35664125175887934,-0.07235006254538433,0.45010964912280693,0.741323833251541,0.25699039954158576
3,44,SVM,classweight,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.45723684210526316,0.7369750097711456,0.18289391558676651
3,44,SVM,threshold,9,15,29,47,0.56,0.7580645161290323,0.618421052631579,0.618421052631579,0.375,0.23684210526315788,0.6811594202898551,0.4967105263157895,0.48156816208802894,-0.00578870190873763,0.4725877192982456,0.7679893371228697,0.18307373952697997
3,44,MLP,none,2,22,2,74,0.76,0.7708333333333334,0.9736842105263158,0.9736842105263158,0.08333333333333333,0.5,0.8604651162790697,0.5285087719298246,0.2848514540549038,0.12426685584655428,0.4725877192982456,0.7387954581365597,0.19649925834927864
3,44,MLP,smote,6,18,24,52,0.58,0.7428571428571429,0.6842105263157895,0.6842105263157895,0.25,0.2,0.7123287671232876,0.46710526315789475,0.4135850959342556,-0.06131393394849658,0.4819078947368421,0.7494243751936159,0.24215922506797793
3,44,MLP,threshold,18,6,58,18,0.36,0.75,0.23684210526315788,0.23684210526315788,0.75,0.23684210526315788,0.36,0.4934210526315789,0.4214636152117623,-0.013157894736842105,0.4725877192982456,0.7387954581365597,0.19649925834927864
3,44,XGB,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.5296052631578947,0.7890376774310964,0.18337063162437645
3,44,XGB,smote,12,12,27,49,0.61,0.8032786885245902,0.6447368421052632,0.6447368421052632,0.5,0.3076923076923077,0.7153284671532847,0.5723684210526316,0.5677749739576688,0.12673433456529806,0.5216557017543859,0.7782279095142612,0.23910442257947817
3,44,XGB,classweight,11,13,36,40,0.51,0.7547169811320755,0.5263157894736842,0.5263157894736842,0.4583333333333333,0.23404255319148937,0.6201550387596899,0.4923245614035088,0.4911497431287515,-0.01313586724167425,0.5213815789473685,0.7744083834239087,0.24297224002489887
3,44,XGB,threshold,18,6,58,18,0.36,0.75,0.23684210526315788,0.23684210526315788,0.75,0.23684210526315788,0.36,0.4934210526315789,0.4214636152117623,-0.013157894736842105,0.5296052631578947,0.7890376774310964,0.18337063162437645
3,44,LR,none,0,24,0,76,0.76,0.76,1.0,1.0,0.0,,0.8636363636363636,0.5,0.0,0.0,0.4917763157894737,0.7773308336418135,0.186226682897472
