model,arm,metric,mean_none,mean_arm,mean_diff,ci_low,ci_high,p_wilcoxon,p_bh,significant_bh_0.05
LR,classweight,f1,0.862987012987013,0.6675202964517246,-0.1954667165352884,-0.21123559185366697,-0.17969784121690985,1.9073486328125e-06,4.858340857163915e-06,True
LR,classweight,mcc,-0.00564782494724905,0.06965660909242663,0.07530443403967568,0.03272420486781377,0.1178846632115376,0.000850677490234375,0.001628956896193484,True
LR,classweight,accuracy,0.759,0.5615,-0.1975,-0.2150032645882593,-0.17999673541174072,1.9073486328125e-06,4.858340857163915e-06,True
LR,threshold,roc_auc,0.5379660087719298,0.5379660087719298,0.0,0.0,0.0,1.0,1.0,False
LR,threshold,pr_auc,0.7915587850538456,0.7915587850538456,0.0,0.0,0.0,1.0,1.0,False
LR,threshold,balanced_accuracy,0.49934210526315786,0.5245065789473685,0.02516447368421053,0.005865009356973257,0.04446393801144781,0.01000953783388119,0.017104906424986844,True
LR,threshold,gmean,0.0,0.41608460962105365,0.41608460962105365,0.3360157444760946,0.4961534747660127,0.00019643672621231134,0.00041114663625832607,True
LR,threshold,sensitivity,0.9986842105263157,0.5052631578947369,-0.4934210526315789,-0.621094359374603,-0.3657477458885549,1.9073486328125e-06,4.858340857163915e-06,True
LR,threshold,specificity,0.0,0.54375,0.54375,0.40564600661003036,0.6818539933899695,1.9073486328125e-06,4.858340857163915e-06,True
LR,threshold,f1,0.862987012987013,0.5628032172473091,-0.30018379573970383,-0.41677084435700007,-0.1835967471224076,1.9073486328125e-06,4.858340857163915e-06,True
LR,threshold,mcc,-0.00564782494724905,0.05178423194462586,0.0574320568918749,0.019939175950244706,0.0949249378335051,0.006210256590449749,0.010817866318847949,True
LR,threshold,accuracy,0.759,0.5145,-0.24450000000000002,-0.3103287632222098,-0.17867123677779023,0.0001308020996998329,0.0002871265603167064,True
ELM,smote,roc_auc,0.5140899122807017,0.5091557017543858,-0.004934210526315796,-0.016948163941477176,0.007079742888845582,0.2942523956298828,0.39923691869381084,False
ELM,smote,pr_auc,0.7804578973566831,0.7811178236733883,0.0006599263167052672,-0.006495934199995616,0.00781578683340615,0.9854354858398438,1.0,False
ELM,smote,balanced_accuracy,0.5131578947368421,0.4942982456140351,-0.018859649122807014,-0.04180379651644291,0.004084498270828886,0.11398696899414062,0.17290158218212343,False
ELM,smote,gmean,0.24021658638416862,0.4668038356856912,0.22658724930152258,0.1691258510466302,0.28404864755641496,1.9073486328125e-06,4.858340857163915e-06,True
ELM,smote,sensitivity,0.9513157894736841,0.6427631578947368,-0.30855263157894736,-0.33463903320361,-0.2824662299542847,1.9073486328125e-06,4.858340857163915e-06,True
ELM,smote,specificity,0.07499999999999997,0.3458333333333333,0.27083333333333337,0.2276901035761637,0.31397656309050304,1.9073486328125e-06,4.858340857163915e-06,True
ELM,smote,f1,0.8478536585242555,0.6938946408880322,-0.15395901763622316,-0.17130117459202732,-0.136616860680419,1.9073486328125e-06,4.858340857163915e-06,True
ELM,smote,mcc,0.05885476316505288,-0.009880246295781747,-0.06873500946083463,-0.1334383046389072,-0.004031714282762056,0.05316925048828125,0.08648010621587914,False
ELM,smote,accuracy,0.7410000000000001,0.5714999999999999,-0.16949999999999998,-0.1900115795294705,-0.14898842047052946,1.9073486328125e-06,4.858340857163915e-06,True
ELM,adasyn,roc_auc,0.5140899122807017,0.5137061403508772,-0.0003837719298245529,-0.017458718652223634,0.01669117479257453,0.956329345703125,1.0,False
ELM,adasyn,pr_auc,0.7804578973566831,0.7825484347047955,0.0020905373481124867,-0.0066627696896610425,0.010843844385886016,0.6742229461669922,0.8054875905534863,False
ELM,adasyn,balanced_accuracy,0.5131578947368421,0.4915570175438596,-0.021600877192982447,-0.04631640833791423,0.0031146539519493373,0.11189633370567016,0.17264005771731966,False
ELM,adasyn,gmean,0.24021658638416862,0.4652903951944817,0.22507380881031303,0.16217487798635544,0.2879727396342706,3.814697265625e-06,9.449250107511467e-06,True
ELM,adasyn,sensitivity,0.9513157894736841,0.6289473684210527,-0.3223684210526315,-0.3532235963772247,-0.29151324572803833,1.9073486328125e-06,4.858340857163915e-06,True
ELM,adasyn,specificity,0.07499999999999997,0.3541666666666667,0.27916666666666673,0.22851249799963141,0.32982083533370204,1.9073486328125e-06,4.858340857163915e-06,True
ELM,adasyn,f1,0.8478536585242555,0.6846097599439762,-0.16324389858027924,-0.18338724858347832,-0.14310054857708016,1.9073486328125e-06,4.858340857163915e-06,True
ELM,adasyn,mcc,0.05885476316505288,-0.015128169602819106,-0.073982932767872,-0.14282667370153015,-0.005139191834213852,0.058258056640625,0.09418967241298652,False
ELM,adasyn,accuracy,0.7410000000000001,0.5630000000000001,-0.178,-0.2003989089613447,-0.15560109103865527,1.9073486328125e-06,4.858340857163915e-06,True
ELM,threshold,roc_auc,0.5140899122807017,0.5140899122807017,0.0,0.0,0.0,1.0,1.0,False
ELM,threshold,pr_auc,0.7804578973566831,0.7804578973566831,0.0,0.0,0.0,1.0,1.0,False
ELM,threshold,balanced_accuracy,0.5131578947368421,0.519736842105263,0.006578947368421048,-0.01216714816443542,0.025325042901277517,0.5216732025146484,0.6551244868788608,False
ELM,threshold,gmean,0.24021658638416862,0.41045667623980153,0.1702400898556328,0.1009581777957474,0.2395220019155182,0.0001678466796875,0.0003596714564732143,True
ELM,threshold,sensitivity,0.9513157894736841,0.5769736842105264,-0.3743421052631579,-0.5254147958318282,-0.2232694146944877,1.33514404296875e-05,3.081101637620192e-05,True
ELM,threshold,specificity,0.07499999999999997,0.4625,0.38749999999999996,0.2415571554258377,0.5334428445741622,1.9073486328125e-05,4.3642722954184324e-05,True
